X,Y81R1,Y81R2,Y81R3,Y81R4,Y81R5,Y81R6,Y81R7,Y81R8,Y81R9,Y81R10,Y83R1,Y83R2,Y83R3,Y83R4,Y83R5,Y83R6,Y83R7,Y83R8,Y83R9,Y83R10,Y84R1,Y84R2,Y84R3,Y84R4,Y84R5,Y84R6,Y84R7,Y84R8,Y84R9,Y84R10,Y85R1,Y85R2,Y85R3,Y85R4,Y85R5,Y85R6,Y85R7,Y85R8,Y85R9,Y85R10,Y87R1,Y87R2,Y87R3,Y87R4,Y87R5,Y87R6,Y87R7,Y87R8,Y87R9,Y87R10,Y88R1,Y88R2,Y88R3,Y88R4,Y88R5,Y88R6,Y88R7,Y88R8,Y88R9,Y88R10
Psammocora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora,11.1,7.2,7.7,1.5,0.9,7.2,4.1,4.1,3.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Stylopora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acropora,64.7,39.7,35.7,40.4,28.9,8.8,15.6,8.3,6.2,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,3.2,9,2.7,0,0,0,0,0,0,15.9,23.7,16.5,11.4,2.9,4,3.5,2.2,0,0,23.2,24.2,22.5,5.3,1.7,3,2.4,3.2,0,0
Montipora,6,1.5,4.5,3.2,9,17.2,14.6,13.4,9.5,35.1,0,2.4,0,0,1.5,0,0,2.4,0,3,1.8,8.7,11.6,6.7,11.1,9.1,5,13.8,9.2,32.8,3,16.9,16.3,12.2,22.9,20.9,12.8,26.2,21.1,52.7,1.7,5.7,2.1,8.8,15.4,17.7,23.6,32.9,78.5,88.1,0,0,0,0,1.3,2.5,2.5,5.8,80.7,24.9
Fungia,0,3.3,1.8,1.7,0,0,0,0,0,0,1.2,3.9,1,5.3,0,0,0,0,0,0,3.6,2.7,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,1.2,1.7,1.7,2.4,2,0,0,0
Halomitra,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavona,3,2.4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.5,0,5.3,1.5,2.1,0,3.1,0,0,0,0,0,3.1,0,3.7,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1.5,2.1,0,0,0,0,0,0,0
Coeloseris,2,0,1.5,0,0.9,1.9,0,0,2.5,0,0,0,1.2,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galaxea,5.1,2.7,3.1,2.4,0,1.3,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,2.1,1.5,0,1.5,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,3.5,3.2,0,1.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Symphyllia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lobophyllia,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.7,0,3,0,0,0,0,0
Porites,12.7,7.1,5.9,4.1,1.7,0.9,5.6,7.1,4.5,2.6,1,4,1.9,3.2,2,2.8,2.5,0,0,0,5.4,6.6,4.4,5.9,2.7,1.1,3.3,0,0,0,23.3,18.6,29.3,17.4,30.7,15.4,9.1,16.5,19.8,10.1,7.9,16.8,11,1.8,0,7.4,0,0,0,0,16.5,19.2,18.1,2.2,8.2,9.2,3.5,1.5,9.2,10.8
Goniopora,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favia,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0
Favites,3.3,8.5,10.1,8.8,13.5,6.3,12.7,7.8,10.1,1.1,0,2.1,0,2.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,2.7,1.1,1,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0
Goniastrea,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,2.1,0.9,1.5,0,0,0,0,1.5,1.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dulophyllia,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platygyra,4.7,5.4,11.1,2.6,7.1,7.4,5.5,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,3,0,0,0,0,0,2.5,1.8,9.2,0,5,3.3,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydnopora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,1.4,0,2.1,1.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptastrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.8,1.6,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyphastrea,0,0,0,0,0,0,0,0,0,0,1.9,0,1.7,0,0,1.8,0,0,0,0,2,0,2.2,0,0.6,2.8,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0
Millepora,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliopora,46.1,27.1,22.1,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
